,communitydistrict_index,yearly_ind_benefi_per_1000,yearly_household_benefi_per_1000
0,2__01,1468.8350437719268,801.2065969376047
1,2__02,1260.3644298128088,700.0535926195308
2,2__03,1600.423760688047,880.5320829467666
3,2__04,1125.1152341215916,631.4829863221365
4,2__05,1258.2215288611544,694.8517940717628
5,2__06,1408.2240476533602,770.8483451025604
6,2__07,984.9015694326781,567.2285800439382
7,2__08,502.3542479676794,301.4518681621138
8,2__09,926.3079083912756,512.902065026872
9,2__10,466.9164064057412,284.877732739717
10,2__11,646.8224530168151,378.8593330507277
11,2__12,751.9101507115475,414.745575802132
12,3__01,892.4388877012763,362.17883905409536
13,3__02,415.3006013029905,282.5421363823444
14,3__03,868.3857894564827,478.58286760139885
15,3__04,643.0385141253972,404.9043805600441
16,3__05,1051.7452541334967,609.3736331029656
17,3__06,309.25708391828783,204.9967051542847
18,3__07,489.67757268478175,295.9914441891785
19,3__08,628.1653290696346,414.68276628217245
20,3__09,634.7011551473653,392.79074256570726
21,3__10,419.29938710428877,250.17069507032642
22,3__11,573.7302245838853,344.61289914881223
23,3__12,946.6668756727383,310.7711279012655
24,3__13,907.6602926791844,608.6902318801665
25,3__14,564.3018971269232,338.7193148433999
26,3__15,516.9182586908863,325.04227998747257
27,3__16,1321.49465698293,752.6252486468982
28,3__17,593.8280988328652,382.9258238219153
29,3__18,455.97102452684936,276.6155324656536
30,1__01,110.81045623011578,88.5729279412247
31,1__02,94.8053679345894,77.16405972271595
32,1__03,672.4217127948211,462.34313467297903
33,1__04,358.2546370284275,268.9524916460845
34,1__05,346.7187893096975,238.90619859501092
35,1__06,110.49774072647028,95.02959823461416
36,1__07,237.5361098888485,176.49365805130955
37,1__08,77.23263004728993,60.744816296835225
38,1__09,599.3847159075441,395.27011697657736
39,1__10,801.4655686423614,519.1189305496746
40,1__11,1044.502161628399,657.5914231895842
41,1__12,706.4256394063782,487.69603199663186
42,4__01,362.9366055309909,219.5756259647837
43,4__02,287.19081272084804,181.29858657243813
44,4__03,412.1264046253555,238.26176155173215
45,4__04,436.34920450990165,254.7596148275183
46,4__05,329.1151959335658,193.82351202789764
47,4__06,268.9899962033252,187.94423302753913
48,4__07,325.30300702636697,214.08588500691317
49,4__08,355.6287928421582,214.9205529856327
50,4__09,457.23117285458113,265.8233147498203
51,4__10,399.2695839733324,240.71048073466446
52,4__11,184.04892167893433,122.92258934476212
53,4__12,591.1277935897377,358.73476777074967
54,4__13,322.80625473904115,206.72029184540253
55,4__14,765.8421611090818,417.83645566978026
56,5__01,637.7022690548259,339.1975238398689
57,5__02,340.0831799277289,199.48031484132932
58,5__03,199.0836969208971,125.29258655880756
