index,yearly_ind_benefi_per_1000,yearly_household_benefi_per_1000
2_BX 01,1848.8256445566522,998.5464004284294
2_BX 02,1585.2888259388278,871.5308348964514
2_BX 03,1993.0041874576866,1084.3258694616484
2_BX 04,1447.2859376813872,803.3679092603847
2_BX 05,1606.349453978159,878.0733229329173
2_BX 06,1786.3765191910456,967.0341547773454
2_BX 07,1236.5707967778528,707.3359849518257
2_BX 08,603.5721658098319,362.77044362092187
2_BX 09,1152.0563210252005,635.4687808332076
2_BX 10,563.218486278158,345.59605289388
2_BX 11,796.7535678960012,466.6790306627102
2_BX 12,931.989444940398,511.46090426928527
3_BK 01,1149.3214238255634,455.2786813263001
3_BK 02,513.4264232008593,346.6576989871207
3_BK 03,1098.3887309213321,591.8292643069582
3_BK 04,807.0120922634372,494.23797432391643
3_BK 05,1315.157247834835,751.3450266818301
3_BK 06,373.4635991175544,249.3195427327164
3_BK 07,634.4212944624891,375.54464073516596
3_BK 08,794.0965769282681,513.0454644559113
3_BK 09,790.874640603887,483.90210202277785
3_BK 10,517.8928597247993,306.8976873830237
3_BK 11,741.049889823663,442.0956033871668
3_BK 12,1221.7606671473807,397.1167612419141
3_BK 13,1172.8168933044362,784.0771783118204
3_BK 14,719.0783249514515,425.68341383259474
3_BK 15,663.6266833698717,415.7720012527404
3_BK 16,1644.296155803303,923.9834389600777
3_BK 17,734.3866745677994,469.2628758405689
3_BK 18,554.3935972884578,334.8041520488987
1_MN 01,143.0187936632884,115.86145823083734
1_MN 02,122.42268041237114,99.41565943832208
1_MN 03,865.7312419997918,593.4883663957569
1_MN 04,442.04561964259767,331.66739309409655
1_MN 05,428.7345422174056,292.9963423838368
1_MN 06,139.58457389050406,120.75379172650531
1_MN 07,299.5972910409214,225.26831321382792
1_MN 08,96.13041105856675,76.73699527100763
1_MN 09,756.0462098318404,498.05341537121234
1_MN 10,1056.246381445348,678.1106608020878
1_MN 11,1334.6499489673142,840.01460447594
1_MN 12,906.5466792969162,622.797600252605
4_QN 01,443.88686847544545,267.2352895005364
4_QN 02,358.92226148409895,226.7137809187279
4_QN 03,520.0785657667739,300.8754138107894
4_QN 04,548.4536321394222,320.99444953012204
4_QN 05,397.1747739228087,234.0386547668302
4_QN 06,337.9658652445324,238.09565854649162
4_QN 07,403.72906846058686,267.2768582679075
4_QN 08,440.90611288689473,269.34556307781907
4_QN 09,557.7914692604506,325.4742982339848
4_QN 10,489.9751625870126,297.8120200006536
4_QN 11,220.29356442871745,149.6594549561543
4_QN 12,730.6379720165191,447.18239723086594
4_QN 13,387.14586437460565,250.68798947999133
4_QN 14,969.7942215032441,526.013672180765
5_SI 01,799.8076879309953,426.1476137372266
5_SI 02,414.36179480769374,246.971659735006
5_SI 03,240.42968871911066,153.88024393136465
